embedding_model,strategy,chunking_time_s,num_chunks,embedding_faiss_time_s,search_time_s,metrics_time_s,total_embedding_model_time_s
specter2,recursive_cs256_co0,0.34,70580,171.52,12.42,0.05,1882.61
specter2,recursive_cs500_co0,0.30,32326,160.15,5.76,0.10,1882.61
specter2,recursive_cs256_co25,0.32,71094,172.03,12.56,0.06,1882.61
specter2,recursive_cs500_co50,0.31,32787,158.80,5.78,0.10,1882.61
specter2,semantic,1026.53,17054,149.26,2.80,0.10,1882.61
scincl,recursive_cs256_co0,0.33,70580,115.35,13.58,0.05,1036.74
scincl,recursive_cs500_co0,0.32,32326,98.92,6.81,0.10,1036.74
scincl,recursive_cs256_co25,0.33,71094,113.97,18.26,0.06,1036.74
scincl,recursive_cs500_co50,0.31,32787,100.54,5.81,0.10,1036.74
scincl,semantic,439.70,17054,117.14,2.84,0.14,1036.74
specter,recursive_cs256_co0,0.34,70580,116.84,13.60,0.07,1061.58
specter,recursive_cs500_co0,0.79,32326,101.44,5.75,0.09,1061.58
specter,recursive_cs256_co25,0.32,71094,119.37,13.27,0.06,1061.58
specter,recursive_cs500_co50,0.32,32787,104.17,5.89,0.11,1061.58
specter,semantic,454.01,17055,120.79,2.99,0.07,1061.58
scibert,recursive_cs256_co0,0.33,70580,113.66,12.94,0.05,1031.35
scibert,recursive_cs500_co0,0.30,32326,98.80,5.81,0.12,1031.35
scibert,recursive_cs256_co25,0.32,71094,113.56,12.93,0.05,1031.35
scibert,recursive_cs500_co50,0.32,32787,100.13,5.90,0.10,1031.35
scibert,semantic,438.72,17055,122.21,3.07,0.03,1031.35
pubmedbert,recursive_cs256_co0,0.33,70580,113.35,12.72,0.07,1030.86
pubmedbert,recursive_cs500_co0,0.31,32326,99.23,5.79,0.09,1030.86
pubmedbert,recursive_cs256_co25,0.32,71094,113.99,12.79,0.07,1030.86
pubmedbert,recursive_cs500_co50,0.31,32787,101.04,5.92,0.10,1030.86
pubmedbert,semantic,443.60,17055,115.90,3.02,0.21,1030.86
